MSFT
AAL
PEN
DKS
HRL
ETSY
CHE
LSCC
WEX
AIZ
CELH
ELF
JLL
THC
UHS
CHK
ERIE
CHDN
WTRG
DBX
CG
LAD
BJ
ORI
RGEN
CTLT
CW
MTN
UNM
PNW
WMS
BWA
CLH
AFG
SKX
ALV
TPR
MIDD
ATR
KNSL
BEN
DINO
WWD
RBC
XRAY
GNTX
GPK
BERY
RRC
WING
TXRH
DCI
FOXA
WCC
RMBS
RGLD
SSD
OLED
VOYA
KBR
CMA
NOV
NNN
GNRC
ACHC
ARMK
LEA
FMC
DAR
SWAV
CIEN
NCLH
EGP
PRI
PVH
FRT
AXTA
UFPI
AGCO
LNW
INGR
SF
SAIC
OSK
LSTR
MORN
BRKR
CACI
BWXT
NYT
BRBR
OHI
EXP
GXO
EXEL
EHC
FR
CROX
FIX
OGE
NYCB
AYI
CGNX
ZION
STAG
JAZZ
AIT
BRX
FHN
IVZ
MEDP
WH
HRB
SWN
CHRD
WFRD
JEF
WHR
FAF
STWD
FN
CBSH
ARW
ONTO
HAS
MAT
AR
MUSA
PARA
FLR
FCN
SRC
SEIC
LFUS
OLN
ADC
QLYS
PLNT
PNFP
MHK
MTH
THO
HXL
SSB
ALTM
EVR
GMED
CFR
CMC
SPSC
BC
BIO
ENSG
DVA
PB
CPRI
PCTY
MTDR
H
G
SON
SFM
HLI
MUR
HR
OPCH
RLI
M
SEE
RL
WTS
MSA
OZK
AZPN
MKSI
MASI
SIGI
TMHC
ATI
KBH
NXST
CR
CIVI
SNV
ESNT
HQY
NOVT
FLS
ASO
VFC
TKR
MTG
ST
AIRC
WTFC
ESH24
AA
CHX
PII
MLI
SIG
DLB
COHR
EXLS
BCC
EEFT
DTM
NSIT
VNT
IRDM
ANF
FYBR
CNM
PR
MMS
BYD
AMG
CADE
UGI
COLB
WU
KRG
R
LNC
TDC
VVV
CC
ESAB
PBF
ONB
GTLS
POST
ALK
AVT
IDA
ALKS
CRUS
DV
WLK
DXC
PRGO
SPXC
COOP
RYN
FCFS
RDN
LPX
EXPO
BMI
ASGN
ASH
FNB
BCPC
FSS
SNX
AMR
HALO
SRCL
ZI
VNO
AWI
MSM
NFG
SM
THG
GPS
JHG
ETRN
CBT
MAN
QDEL
RH
HOG
FOX
KEX
ENS
OGN
MTZ
HWC
SLM
FUL
PECO
TEX
UBSI
IBP
MOG.A
MTSI
AAON
AAP
AGO
VLY
BLKB
KRC
COKE
HAE
BCO
FLO
SEDG
MDU
CNXC
NSP
ABG
GPI
POWI
NVST
FFIN
GATX
VAL
MMSI
OLLI
TKO
MATX
HOMB
LITE
AN
SLAB
AEIS
SYNA
NJR
PK
WDFC
AZTA
POR
KD
LNTH
CVLT
WOLF
HP
ACLS
FELE
WIRE
ACA
LOPE
BXMT
GT
GBCI
VMI
ARWR
GKOS
AM
NEU
CNO
COTY
SAM
IRT
YETI
DY
ACIW
CUZ
PAG
GME
EPR
SLGN
APLE
DOCS
TNL
MC
SMPL
OTTR
PENN
WEN
CHH
AEL
HI
TGNA
AEO
IPGP
FBP
LEG
SANM
RUN
ASB
ARCB
CRS
BKH
HELE
TPH
MAC
VC
NWL
LCII
KNF
PCH
CRC
OGS
ITGR
ORA
CNMD
SHOO
AMN
ALE
HGV
SWX
CRI
PTEN
NARI
NEOG
CATY
FHI
CAR
AMKR
CEIX
CVCO
KLIC
MSGS
TCBI
PNM
IDCC
PGNY
CCOI
CNX
MDC
VAC
IART
SLG
SR
NWS
PLXS
KFY
VRRM
AVNT
VSH
KMPR
GMS
FORM
PBH
CDP
IOSP
ADNT
SBRA
JXN
BDC
ITRI
KSS
JBT
GNW
UMBF
BRC
APAM
IBOC
MHO
SFBS
AX
EPRT
NSA
FL
HUBG
GFF
FHB
SEM
WD
ABCB
ATGE
BOH
FTRE
AIN
NPO
SKT
DOC
AMED
ENV
ESE
ABM
VSTS
BHF
DIOD
ABR
PPBI
KWR
KTB
AWR
CXT
SXT
RUSHA
FTDR
BKU
LANC
CBU
FULT
HASI
NWE
ZD
AUB
LIVN
PINC
PZZA
LBRT
AVAV
ALRM
PDCO
UNF
URBN
YELP
REZI
LXP
CWT
SKYW
AVA
PRGS
XRX
ROCK
NOG
SMG
RAMP
FOXF
CABO
COLM
HCC
HIW
GVA
DORM
OI
JJSF
INDB
CORT
PIPR
PLUS
LRN
UCBI
CALX
CVBF
IPAR
WAFD
EVTC
DEI
SHAK
VIAV
SHO
THS
WSFS
IIPR
PGTI
GHC
STRA
ODP
WGO
MTX
WERN
MYRG
RXO
ALG
SITC
SXI
BLMN
SFNC
CTRE
CWEN
SONO
ENOV
PJT
DRH
VYX
UE
PRFT
TBBK
TRN
MTRN
EXTR
EPC
FFBC
KMT
LGIH
PRVA
MBC
DAN
OSIS
AIR
HTH
PEB
GO
CARG
JWN
CALM
OII
ROG
NBTB
TRIP
NEO
MPW
AMPH
DFIN
WOR
CXW
PLAB
VSCO
PATK
EPAC
TDS
ENR
PRK
CCS
JBGS
FCPT
SIX
RNST
NMIH
CUBI
KAR
AZZ
IBTX
HNI
PARR
ALGM
CBRL
GSHD
VCEL
TRMK
PLAY
CASH
CHCO
JOE
CSGS
MRCY
ROIC
CENTA
CERT
SJW
SITM
BANC
ANDE
LZB
OFG
EYE
NGVT
SNEX
MLKN
IRWD
CPK
VSTO
APOG
JACK
LKFN
TNDM
CWK
UAA
FWRD
OXM
BANF
MYGN
SDGR
BANR
SLVM
ECPG
KN
SBH
HAYW
DVAX
JBLU
NTCT
HLIT
THRM
EAT
OUT
B
LUMN
GIII
ICUI
LNN
CRVL
HOPE
SCL
UA
XHR
PSMT
AKR
CNK
GEO
MXL
TTMI
ENVA
BOOT
SHC
TFIN
GBX
TNC
STAA
AMWD
VRE
MGPI
SUPN
FCF
RDNT
MODG
VSAT
NATL
OMI
HWKN
ARI
PMT
AROC
PCRX
HBI
CAL
CPE
HTZ
SATS
PHIN
MDRX
CPRX
PPC
MP
WLY
CAKE
LPG
BFH
VECO
NWBI
FIZZ
WKC
KW
CTS
SVC
VGR
COHU
USPH
HLX
AGYS
ADUS
UPBD
HPP
LTC
WNC
EIG
NVEE
NHC
ELME
GRBK
OMCL
SMTC
SABR
STC
HMN
NBHC
SCHL
STBA
SCSC
NWN
UCTT
ALEX
PFS
PLMR
SAFT
SBCF
PRDO
WABC
SAH
AAT
XNCR
GPRE
MATW
BKE
RCM
LGND
VRTS
MRTN
CARS
GEF
SSTK
HIBB
ADEA
UFPT
UVV
UNIT
PRAA
ALGT
GTY
KALU
MCY
BHLB
NAVI
PFBC
MSEX
TGI
DLX
TTGT
NX
EXPI
INVA
EMBC
SLCA
ZEUS
MCRI
PAYO
TWO
PRLB
SBSI
SHEN
LESL
MNRO
WS
BDN
SPNT
PDFS
BJRI
EGBN
HAIN
AVNS
MMI
BHE
NUS
NABL
LMAT
GNL
CVI
BRKL
IRBT
HSTM
TRUP
HOUS
ETD
TWI
MD
ASIX
FDP
KOP
POWL
VBTX
HAYN
DEA
DCOM
GES
CWEN.A
UNFI
WT
RCUS
CNXN
ATEN
RWT
TILE
FBK
AMSF
CFFN
CRK
VREX
SPTN
PRA
VIR
AXL
MED
AMEH
MATV
CRNC
NVRI
HCSG
RGR
DDD
RC
HRMY
CCRN
GDEN
AMBC
DGII
VICR
WWW
PBI
UTL
DNOW
ASTE
SAFE
VTOL
INN
CLB
NYMT
MEI
XPEL
PRG
ARLO
AHCO
TMP
BFS
DBI
AHH
CTKB
DRQ
KELYA
MCW
CMP
STEL
HTLD
HFWA
DIN
PUMP
AORT
SCVL
SGH
CENT
USNA
KAMN
TR
CPF
CHUY
ICHR
CHEF
NXRT
NFBK
HAFC
SMP
TBI
IIIN
HZO
MYE
EFC
NBR
ATNI
VVI
HVT
GOGO
AOSL
CLW
FBRT
CENX
TRST
QNST
BSIG
CHCT
JBSS
MODV
KREF
VTLE
BLFS
SSP
EHAB
RGNX
HCI
WSR
CLDT
SLP
AMCX
DXPE
HSII
RES
GDOT
MOV
TMST
CVGW
CEVA
APPS
CRSR
LQDT
EZPW
BGS
XPER
RGP
UHT
TALO
FORR
SXC
CSR
FBNC
ADTN
RILY
OSUR
OIS
FLGT
UFCS
WRLD
TTEC
THRY
MERC
CNSL
CRMT
MLAB
ARR
SPWR
ANIP
COLL
CCSI
MCS
AGTI
REX
PAHC
SNCY
KLG
NPK
SNBR
BMTX
BATL
-
