Ticker,Name,pegRatio,marketCap,freeCashflow,sharesOutstanding,currentPrice,percentHeldInsiders
CSR,D/B/A Centerspace,3.12,876463232,83977248,15052500,54.61,9.788568267919425,0.010679999
FBNC,First Bancorp,1.74,1383527168,,41090800,33.67,null,0.035350002
ADTN,"ADTRAN Holdings, Inc.",-9.49,554040960,-29172376,78699000,7.04,-18.991972405675835,0.0152199995
RILY,"B. Riley Financial, Inc.",,656003200,,30582900,21.45,null,0.45716998
OSUR,"OraSure Technologies, Inc.",0.74,592283520,72368248,73484304,8.06,8.184300526938278,0.04269
OIS,"Oil States International, Inc.",-4.21,383335200,17563124,63889200,6.0,21.826139814306384,0.03539
FLGT,"Fulgent Genetics, Inc.",0.55,774016576,27042250,29633100,26.12,28.622491545636922,0.31681
UFCS,"United Fire Group, Inc",-1.56,537142400,101313128,25265400,21.26,5.301804559819731,0.17894
WRLD,World Acceptance Corporation,7.87,757001600,183270416,6224830,121.61,4.130517040458947,0.077360004
TTEC,"TTEC Holdings, Inc.",-0.82,939951616,139103632,47424400,19.82,6.757203924049949,0.59588003
THRY,"Thryv Holdings, Inc.",,641409600,155210128,35165000,18.24,4.132524135280656,0.06358
MERC,Mercer International Inc.,-0.57,580762368,-144798624,66524900,8.73,-4.010828010354573,0.38141
CNSL,Consolidated Communications Hol,-1.82,533321312,-289975360,116192000,4.59,-1.8391951647202023,0.02572
CRMT,"America's Car-Mart, Inc.",1.0,389963232,-199016624,6392840,61.0,-1.9594505833844313,0.094919994
MLAB,"Mesa Laboratories, Inc.",,488922080,36494500,5391730,90.68,13.39714412856732,0.056900002
ARR,"ARMOUR Residential REIT, Inc.",-0.37,932872448,,48995400,19.04,null,0.00627
SPWR,SunPower Corporation,0.16,515561312,-125521752,175360992,2.94,-4.10734640223951,0.00542
ANIP,"ANI Pharmaceuticals, Inc.",5.78,1135520256,68316000,20426700,55.59,16.621585763217986,0.102790006
COLL,"Collegium Pharmaceutical, Inc.",49.82,1071920256,238405504,32610900,32.87,4.496206106885854,0.00881
CCSI,"Consensus Cloud Solutions, Inc.",,344573248,51295500,19153600,17.99,6.7174170053903355,0.07625
MCS,Marcus Corporation (The),3.83,430745920,59157624,24617300,13.59,5.655215412302563,0.03963
AGTI,"Agiliti, Inc.",0.1,923681408,89978376,134844000,6.85,10.265593146513336,0.01968
REX,REX American Resources Corporat,1.8,778389568,20962000,17503700,44.47,37.133362226886746,0.20514
PAHC,Phibro Animal Health Corporatio,2.88,458905792,6312875,20337600,11.33,36.500803199809916,0.00543
SNCY,"Sun Country Airlines Holdings, ",0.16,669000000,-82642752,53821400,12.43,-8.095083789078078,0.00467
KLG,WK Kellogg Co,,1111494144,,85631296,12.98,null,0.00087
NPK,"National Presto Industries, Inc",,586706816,25379500,7082410,82.84,23.11735236706791,0.28235
SNBR,Sleep Number Corporation,-3.74,241618352,-64655376,22228000,10.87,-3.737018867541656,0.04833
BMTX,"BM Technologies, Inc.",,23739800,-7531625,11869900,2.0,-3.1520156672696795,0.25902998
BATL,Battalion Oil Corporation,,157818800,-54147376,16456600,9.59,-2.9146157331797578,0.01284
-,,,,,,,null,
